competitor_id,name,country,country_code,abbreviation
sr:competitor:225050,"Sinner, Jannik",Italy,ITA,SIN
sr:competitor:407573,"Alcaraz, Carlos",Spain,ESP,ALC
sr:competitor:57163,"Zverev, Alexander",Germany,DEU,ZVE
sr:competitor:136042,"Fritz, Taylor",USA,USA,FRI
sr:competitor:352776,"Draper, Jack",Great Britain,GBR,DRA
sr:competitor:808628,"Shelton, Ben",USA,USA,SHE
sr:competitor:14882,"Djokovic, Novak",Serbia,SRB,DJO
sr:competitor:214182,"de Minaur, Alex",Australia,AUS,DE
sr:competitor:90080,"Khachanov, Karen",Neutral,,KHA
sr:competitor:359602,"Musetti, Lorenzo",Italy,ITA,MUS
sr:competitor:429603,"Rune, Holger",Denmark,DNK,RUN
sr:competitor:119248,"Ruud, Casper",Norway,NOR,RUU
sr:competitor:163504,"Medvedev, Daniil",Neutral,,MED
sr:competitor:138546,"Paul, Tommy",USA,USA,PAU
sr:competitor:106755,"Rublev, Andrey",Neutral,,RUB
sr:competitor:763108,"Mensik, Jakub",Czechia,CZE,MEN
sr:competitor:101101,"Tiafoe, Frances",USA,USA,TIA
sr:competitor:157456,"Davidovich Fokina, Alejandro",Spain,ESP,DAV
sr:competitor:255595,"Cerundolo, Francisco",Argentina,ARG,CER
sr:competitor:671637,"Fils, Arthur",France,FRA,FIL
sr:competitor:339377,"Lehecka, Jiri",Czechia,CZE,LEH
sr:competitor:300540,"Machac, Tomas",Czechia,CZE,MAC
sr:competitor:185388,"Humbert, Ugo",France,FRA,HUM
sr:competitor:163480,"Bublik, Alexander",Kazakhstan,KAZ,BUB
sr:competitor:23581,"Dimitrov, Grigor",Bulgaria,BGR,DIM
sr:competitor:399637,"Cobolli, Flavio",Italy,ITA,COB
sr:competitor:195800,"Auger-Aliassime, Felix",Canada,CAN,AUG
sr:competitor:122366,"Tsitsipas, Stefanos",Greece,GRC,TSI
sr:competitor:117916,"Shapovalov, Denis",Canada,CAN,SHA
sr:competitor:122368,"Griekspoor, Tallon",Netherlands,NLD,GRI
sr:competitor:294300,"Nakashima, Brandon",USA,USA,NAK
sr:competitor:871495,"Michelsen, Alex",USA,USA,MIC
sr:competitor:418213,"Diallo, Gabriel",Canada,CAN,DIA
sr:competitor:534043,"Darderi, Luciano",Italy,ITA,DAR
sr:competitor:95935,"Norrie, Cameron",Great Britain,GBR,NOR
sr:competitor:128552,"Popyrin, Alexei",Australia,AUS,POP
sr:competitor:450283,"Mpetshi Perricard, Giovanni",France,FRA,MPE
sr:competitor:88992,"Muller, Alexandre",France,FRA,MUL
sr:competitor:257721,"Baez, Sebastian",Argentina,ARG,BAE
sr:competitor:175014,"Moutet, Corentin",France,FRA,MOU
sr:competitor:125006,"Borges, Nuno",Portugal,PRT,BOR
sr:competitor:130398,"Kecmanovic, Miomir",Serbia,SRB,KEC
sr:competitor:204117,"Ugo Carabelli, Camilo",Argentina,ARG,UGO
sr:competitor:126356,"Munar, Jaume",Spain,ESP,MUN
sr:competitor:863319,"Fonseca, Joao",Brazil,BRA,FON
sr:competitor:104847,"Sonego, Lorenzo",Italy,ITA,SON
sr:competitor:16720,"Bautista Agut, Roberto",Spain,ESP,BAU
sr:competitor:170946,"Bergs, Zizou",Belgium,BEL,BER
sr:competitor:14844,"Monfils, Gael",France,FRA,MON
sr:competitor:891669,"Tien, Learner",USA,USA,TIE
sr:competitor:94485,"Bonzi, Benjamin",France,FRA,BON
sr:competitor:112783,"Berrettini, Matteo",Italy,ITA,BER
sr:competitor:254383,"Marozsan, Fabian",Hungary,HUN,MAR
sr:competitor:341192,"Comesana, Francisco",Argentina,ARG,COM
sr:competitor:42379,"Giron, Marcos",USA,USA,GIR
sr:competitor:127208,"Altmaier, Daniel",Germany,DEU,ALT
sr:competitor:601146,"Medjedovic, Hamad",Serbia,SRB,MED
sr:competitor:87690,"Thompson, Jordan",Australia,AUS,THO
sr:competitor:169496,"Etcheverry, Tomas Martin",Argentina,ARG,ETC
sr:competitor:407783,"Fearnley, Jacob",Great Britain,GBR,FEA
sr:competitor:49172,"Dzumhur, Damir",Bosnia & Herzegovina,BIH,DZU
sr:competitor:15387,"Cilic, Marin",Croatia,HRV,CIL
sr:competitor:47770,"Fucsovics, Marton",Hungary,HUN,FUC
sr:competitor:505550,"Arnaldi, Matteo",Italy,ITA,ARN
sr:competitor:472975,"Bellucci, Mattia",Italy,ITA,BEL
sr:competitor:77223,"Martinez, Pedro",Spain,ESP,MAR
sr:competitor:130400,"Opelka, Reilly",USA,USA,OPE
sr:competitor:158896,"Hurkacz, Hubert",Poland,POL,HUR
sr:competitor:399633,"Atmane, Terence",France,FRA,ATM
sr:competitor:90798,"Halys, Quentin",France,FRA,HAL
sr:competitor:188321,"Kovacevic, Aleksandar",USA,USA,KOV
sr:competitor:97231,"Djere, Laslo",Serbia,SRB,DJE
sr:competitor:102339,"Van de Zandschulp, Botic",Netherlands,NLD,VAN
sr:competitor:337601,"Bu, Yunchaokete",China,CHN,YUN
sr:competitor:203681,"Korda, Sebastian",USA,USA,KOR
sr:competitor:108709,"Majchrzak, Kamil",Poland,POL,MAJ
sr:competitor:15894,"Mannarino, Adrian",France,FRA,MAN
sr:competitor:392066,"Navone, Mariano",Argentina,ARG,NAV
sr:competitor:445419,"Cazaux, Arthur",France,FRA,CAZ
sr:competitor:25838,"Goffin, David",Belgium,BEL,GOF
sr:competitor:58221,"O'Connell, Christopher",Australia,AUS,OCO
sr:competitor:63606,"Rinderknech, Arthur",France,FRA,RIN
sr:competitor:310974,"De Jong, Jesper",Netherlands,NLD,DEJ
sr:competitor:655845,"Quinn, Ethan",USA,USA,QUI
sr:competitor:227358,"Walton, Adam",Australia,AUS,WAL
sr:competitor:450477,"Nardi, Luca",Italy,ITA,NAR
sr:competitor:51141,"Carballes Baena, Roberto",Spain,ESP,CAR
sr:competitor:258735,"Cerundolo, Juan Manuel",Argentina,ARG,CER
sr:competitor:210526,"Kopriva, Vit",Czechia,CZE,KOP
sr:competitor:15733,"Nishikori, Kei",Japan,JPN,NIS
sr:competitor:371436,"Shevchenko, Alexander",Kazakhstan,KAZ,SHE
sr:competitor:195516,"Brooksby, Jenson",USA,USA,BRO
sr:competitor:248779,"Misolic, Filip",Austria,AUT,MIS
sr:competitor:124930,"Safiullin, Roman",Neutral,,SAF
sr:competitor:124656,"Vukic, Aleksandar",Australia,AUS,VUK
sr:competitor:405977,"Schoolkate, Tristan",Australia,AUS,SCH
sr:competitor:355752,"Svrcina, Dalibor",Czechia,CZE,SVR
sr:competitor:341220,"Royer, Valentin",France,FRA,ROY
sr:competitor:108559,"Taberner, Carlos",Spain,ESP,TAB
sr:competitor:63438,"McDonald, Mackenzie",USA,USA,MCD
sr:competitor:284805,"Nava, Emilio",USA,USA,NAV
sr:competitor:89632,"Jarry, Nicolas",Chile,CHL,JAR
sr:competitor:299130,"Hijikata, Rinky",Australia,AUS,HIJ
sr:competitor:872497,"Basavareddy, Nishesh",USA,USA,BAS
sr:competitor:64580,"Coric, Borna",Croatia,HRV,COR
sr:competitor:39711,"Duckworth, James",Australia,AUS,DUC
sr:competitor:739641,"Collignon, Raphael",Belgium,BEL,COL
sr:competitor:26204,"Basilashvili, Nikoloz",Georgia,GEO,BAS
sr:competitor:1084926,"Moller, Elmer",Denmark,DNK,MOL
sr:competitor:226050,"Holt, Brandon",USA,USA,HOL
sr:competitor:721347,"Shang, Juncheng",China,CHN,SHA
sr:competitor:503814,"Mochizuki, Shintaro",Japan,JPN,MOC
sr:competitor:284801,"Boyer, Tristan",USA,USA,BOY
sr:competitor:263917,"Draxl, Liam",Canada,CAN,DRA
sr:competitor:256875,"Tirante, Thiago Agustin",Argentina,ARG,TIR
sr:competitor:829282,"Blockx, Alexander",Belgium,BEL,BLO
sr:competitor:682911,"Faria, Jaime",Portugal,PRT,FAR
sr:competitor:226036,"Tseng, Chun Hsin",Chinese Taipei,TPE,TSE
sr:competitor:163636,"Klein, Lukas",Slovakia,SVK,KLE
sr:competitor:353530,"Passaro, Francesco",Italy,ITA,PAS
sr:competitor:57289,"Dellien, Hugo",Bolivia,BOL,DEL
sr:competitor:102151,"Tabilo, Alejandro",Chile,CHL,TAB
sr:competitor:276563,"Virtanen, Otto",Finland,FIN,VIR
sr:competitor:722429,"Prizmic, Dino",Croatia,HRV,PRI
sr:competitor:223874,"Gaston, Hugo",France,FRA,GAS
sr:competitor:64570,"Garin, Cristian",Chile,CHL,GAR
sr:competitor:448357,"Spizzirri, Eliot",USA,USA,SPI
sr:competitor:39234,"Lajovic, Dusan",Serbia,SRB,LAJ
sr:competitor:113979,"Ficovich, Juan Pablo",Argentina,ARG,FIC
sr:competitor:619900,"Gigante, Matteo",Italy,ITA,GIG
sr:competitor:92074,"Galan, Daniel Elahi",Colombia,COL,GAL
sr:competitor:47975,"Hanfmann, Yannick",Germany,DEU,HAN
sr:competitor:798876,"Smith, Colton",USA,USA,SMI
sr:competitor:132834,"Barrios Vera, Marcelo Tomas",Chile,CHL,BAR
sr:competitor:604344,"Buse, Ignacio",Peru,PER,BUS
sr:competitor:16375,"Evans, Daniel",Great Britain,GBR,EVA
sr:competitor:40800,"Carreno Busta, Pablo",Spain,ESP,CAR
sr:competitor:903987,"Landaluce, Martin",Spain,ESP,LAN
sr:competitor:44553,"Herbert, Pierre-Hugues",France,FRA,HER
sr:competitor:83397,"Ofner, Sebastian",Austria,AUT,OFN
sr:competitor:93597,"Pellegrino, Andrea",Italy,ITA,PEL
sr:competitor:443702,"Burruchaga, Roman Andres",Argentina,ARG,BUR
sr:competitor:161262,"Seyboth Wild, Thiago",Brazil,BRA,SEY
sr:competitor:46391,"Struff, Jan-Lennard",Germany,DEU,STR
sr:competitor:501672,"Svajda, Zachary",USA,USA,SVA
sr:competitor:14548,"Wawrinka, Stan",Switzerland,CHE,WAW
sr:competitor:801386,"Lajal, Mark",Estonia,EST,LAJ
sr:competitor:157302,"Watanuki, Yosuke",Japan,JPN,WAT
sr:competitor:59281,"Nishioka, Yoshihito",Japan,JPN,NIS
sr:competitor:105607,"Choinski, Jan",Great Britain,GBR,CHO
sr:competitor:111837,"Harris, Billy",Great Britain,GBR,HAR
sr:competitor:321667,"Mayot, Harold",France,FRA,MAY
sr:competitor:54573,"Coria, Federico",Argentina,ARG,COR
sr:competitor:212004,"Rodionov, Jurij",Austria,AUT,ROD
sr:competitor:359608,"Maestrelli, Francesco",Italy,ITA,MAE
sr:competitor:223714,"Piros, Zsombor",Hungary,HUN,PIR
sr:competitor:675173,"Neumayer, Lukas",Austria,AUT,NEU
sr:competitor:943619,"Budkov Kjaer, Nicolai",Norway,NOR,BUD
sr:competitor:309954,"Droguet, Titouan",France,FRA,DRO
sr:competitor:604238,"Gaubas, Vilius",Lithuania,LTU,GAU
sr:competitor:739649,"Den Ouden, Guy",Netherlands,NLD,DEN
sr:competitor:268553,"Rodesch, Chris",Luxembourg,LUX,ROD
sr:competitor:121668,"Meligeni Alves, Felipe",Brazil,BRA,MEL
sr:competitor:382058,"Jacquet, Kyrian",France,FRA,JAC
sr:competitor:153826,"Echargui, Moez",Tunisia,TUN,ECH
sr:competitor:48632,"Daniel, Taro",Japan,JPN,DAN
sr:competitor:682913,"Rocha, Henrique",Portugal,PRT,ROC
sr:competitor:17080,"Tomic, Bernard",Australia,AUS,TOM
sr:competitor:47603,"Monteiro, Thiago",Brazil,BRA,MON
sr:competitor:673479,"Merida, Daniel",Spain,ESP,MER
sr:competitor:130436,"Habib, Hady",Lebanon,LBN,HAB
sr:competitor:226124,"Holmgren, August",Denmark,DNK,HOL
sr:competitor:449767,"Wong, Coleman","Hong Kong, China",HKG,WON
sr:competitor:57703,"Pouille, Lucas",France,FRA,POU
sr:competitor:539343,"Kym, Jerome",Switzerland,CHE,KYM
sr:competitor:675175,"McCabe, James",Australia,AUS,MCC
sr:competitor:187689,"Galarneau, Alexis",Canada,CAN,GAL
sr:competitor:49417,"Tu, Li",Australia,AUS,TUL
sr:competitor:206879,"Eubanks, Christopher",USA,USA,EUB
sr:competitor:652092,"Cassone, Murphy",USA,USA,CAS
sr:competitor:477182,"Kachmazov, Alibek",Neutral,,KAC
sr:competitor:14414,"Gasquet, Richard",France,FRA,GAS
sr:competitor:38517,"Trungelliti, Marco",Argentina,ARG,TRU
sr:competitor:213170,"Blanchet, Ugo",France,FRA,BLA
sr:competitor:81271,"Hemery, Calvin",France,FRA,HEM
sr:competitor:52276,"Krueger, Mitchell",USA,USA,KRU
sr:competitor:342826,"Trotter, James Kent",Japan,JPN,TRO
sr:competitor:107357,"Grenier, Hugo",France,FRA,GRE
sr:competitor:234046,"Kypson, Patrick",USA,USA,KYP
sr:competitor:75813,"Zhang, Zhizhen",China,CHN,ZHA
sr:competitor:286541,"Zhukayev, Beibit",Kazakhstan,KAZ,ZHU
sr:competitor:276685,"Skatov, Timofey",Kazakhstan,KAZ,SKA
sr:competitor:54955,"Coppejans, Kimmer",Belgium,BEL,COP
sr:competitor:220588,"Hsu, Yu Hsiou",Chinese Taipei,TPE,HSU
sr:competitor:39726,"Kubler, Jason",Australia,AUS,KUB
sr:competitor:266711,"Pavlovic, Luka",France,FRA,PAV
sr:competitor:893391,"Sakamoto, Rei",Japan,JPN,SAK
sr:competitor:247607,"Shimabukuro, Sho",Japan,JPN,SHI
sr:competitor:62790,"Lestienne, Constant",France,FRA,LES
sr:competitor:108767,"Hassan, Benjamin",Lebanon,LBN,HAS
sr:competitor:116616,"Clarke, Jay",Great Britain,GBR,CLA
sr:competitor:79467,"Jasika, Omar",Australia,AUS,JAS
sr:competitor:146040,"Gomez, Federico Agustin",Argentina,ARG,GOM
sr:competitor:658475,"Van Assche, Luca",France,FRA,VAN
sr:competitor:506300,"Bueno, Gonzalo",Peru,PER,BUE
sr:competitor:679701,"Gueymard Wayenburg, Sascha",France,FRA,GUE
sr:competitor:185434,"Rodriguez Taverna, Santiago",Argentina,ARG,ROD
sr:competitor:36300,"Travaglia, Stefano",Italy,ITA,TRA
sr:competitor:124916,"Gojo, Borna",Croatia,HRV,GOJ
sr:competitor:917921,"Cina, Federico",Italy,ITA,CIN
sr:competitor:200261,"Wu, Yibing",China,CHN,YIB
sr:competitor:172482,"Dougaz, Aziz",Tunisia,TUN,DOU
sr:competitor:289105,"Onclin, Gauthier",Belgium,BEL,ONC
sr:competitor:113905,"Moreno de Alboran, Nicolas",USA,USA,MAN
sr:competitor:382056,"Bouquier, Arthur",France,FRA,BOU
sr:competitor:158912,"Vacherot, Valentin",Monaco,MCO,VAC
sr:competitor:100069,"Sachko, Vitaliy",Ukraine,UKR,SAC
sr:competitor:58369,"Bolt, Alex",Australia,AUS,BOL
sr:competitor:251091,"Noguchi, Rio",Japan,JPN,NOG
sr:competitor:861511,"Engel, Justin",Germany,DEU,ENG
sr:competitor:283759,"Chidekh, Clement",France,FRA,CHI
sr:competitor:603104,"Pinnington Jones, Jack",Great Britain,GBR,PIN
sr:competitor:250231,"Shimizu, Yuta",Japan,JPN,SHI
sr:competitor:809324,"Pacheco Mendez, Rodrigo",Mexico,MEX,PAC
sr:competitor:46390,"Uchiyama, Yasutaka",Japan,JPN,UCH
sr:competitor:496346,"Stricker, Dominic",Switzerland,CHE,STR
sr:competitor:145112,"Huesler, Marc-Andrea",Switzerland,CHE,HUE
sr:competitor:517028,"Barrena, Alex",Argentina,ARG,BAR
sr:competitor:240264,"Reis Da Silva, Joao Lucas",Brazil,BRA,REI
sr:competitor:240876,"Crawford, Oliver",Great Britain,GBR,CRA
sr:competitor:83661,"Ymer, Elias",Sweden,SWE,YME
sr:competitor:565070,"Monday, Johannus",Great Britain,GBR,MON
sr:competitor:63090,"Fatic, Nerman",Bosnia & Herzegovina,BIH,FAT
sr:competitor:16683,"Kukushkin, Mikhail",Kazakhstan,KAZ,KUK
sr:competitor:603098,"Fery, Arthur",Great Britain,GBR,FER
sr:competitor:686709,"Simakin, Ilia",Neutral,,SIM
sr:competitor:50901,"Popko, Dmitry",Kazakhstan,KAZ,POP
sr:competitor:163438,"Sun, Fajing",China,CHN,SUN
sr:competitor:43761,"Collarini, Andrea",Argentina,ARG,COL
sr:competitor:91240,"Peniston, Ryan",Great Britain,GBR,PEN
sr:competitor:96239,"Durasovic, Viktor",Norway,NOR,DUR
sr:competitor:225052,"Tabur, Clement",France,FRA,TAB
sr:competitor:389114,"Guillen Meza, Alvaro",Ecuador,ECU,GUI
sr:competitor:71280,"Kokkinakis, Thanasi",Australia,AUS,KOK
sr:competitor:353550,"Loffhagen, George",Great Britain,GBR,LOF
sr:competitor:138528,"Mejia, Nicolas",Colombia,COL,MEJ
sr:competitor:801374,"Gea, Arthur",France,FRA,GEA
sr:competitor:915153,"Dodig, Matej",Croatia,HRV,DOD
sr:competitor:809320,"Butvilas, Edas",Lithuania,LTU,BUT
sr:competitor:834054,"Prado Angelo, Juan Carlos",Bolivia,BOL,PRA
sr:competitor:152898,"Gengel, Marek",Czechia,CZE,GEN
sr:competitor:622876,"Vallejo, Adolfo Daniel",Paraguay,PRY,VAL
sr:competitor:251029,"Martin Tiffon, Pol",Spain,ESP,MAR
sr:competitor:60502,"Karatsev, Aslan",Neutral,,KAR
sr:competitor:66484,"Ferreira Silva, Frederico",Portugal,PRT,FER
sr:competitor:371476,"Diaz Acosta, Facundo",Argentina,ARG,DIA
sr:competitor:145130,"Molcan, Alex",Slovakia,SVK,MOL
sr:competitor:226132,"Ajdukovic, Duje",Croatia,HRV,AJD
sr:competitor:169486,"Olivieri, Genaro Alberto",Argentina,ARG,OLI
sr:competitor:298122,"Zeppieri, Giulio",Italy,ITA,ZEP
sr:competitor:50139,"Gombos, Norbert",Slovakia,SVK,GOM
sr:competitor:938667,"Schwaerzler, Joel",Austria,AUT,SCH
sr:competitor:51009,"Kuzmanov, Dimitar",Bulgaria,BGR,KUZ
sr:competitor:847592,"Midon, Lautaro",Argentina,ARG,MID
sr:competitor:350752,"Purtseladze, Saba",Georgia,GEO,PUR
sr:competitor:195458,"Added, Dan",France,FRA,ADD
sr:competitor:279295,"Jianu, Filip Cristian",Romania,ROU,JIA
sr:competitor:620338,"Sharipov, Marat",Neutral,,SHA
sr:competitor:82133,"Dellien, Murkel",Bolivia,BOL,DEV
sr:competitor:229024,"Zahraj, Patrick",Germany,DEU,ZAH
sr:competitor:145122,"Martineau, Matteo",France,FRA,MAR
sr:competitor:305776,"Soto, Matias",Chile,CHL,SOT
sr:competitor:76515,"Gakhov, Ivan",Neutral,,GAK
sr:competitor:55745,"Negritu, Christoph",Germany,DEU,NEG
sr:competitor:163996,"Wu, Tung-Lin",Chinese Taipei,TPE,TUN
sr:competitor:141882,"Blancaneaux, Geoffrey",France,FRA,BLA
sr:competitor:345576,"Michalski, Daniel",Poland,POL,MIC
sr:competitor:132558,"Kolar, Zdenek",Czechia,CZE,KOL
sr:competitor:44549,"Cecchinato, Marco",Italy,ITA,CEC
sr:competitor:603420,"Martin, Andres",USA,USA,MAR
sr:competitor:373348,"Pucinelli de Almeida, Matheus",Brazil,BRA,PDA
sr:competitor:224024,"Alvarez Varona, Nicolas",Spain,ESP,ALV
sr:competitor:240916,"Erhard, Mathys",France,FRA,ERH
sr:competitor:56017,"Ritschard, Alexander",Switzerland,CHE,RIT
sr:competitor:720613,"ToPo, Marko",Germany,DEU,TOP
sr:competitor:880089,"Pereira, Tiago",Portugal,PRT,PER
sr:competitor:530317,"Rincon, Daniel",Spain,ESP,RIN
sr:competitor:243522,"Paul, Jakub",Switzerland,CHE,PAU
sr:competitor:215492,"Cui, Jie",China,CHN,CUI
sr:competitor:16822,"Ramos-Vinolas, Albert",Spain,ESP,RAM
sr:competitor:199196,"Sanchez Izquierdo, Nikolas",Spain,ESP,SAI
sr:competitor:763106,"Barton, Hynek",Czechia,CZE,BAR
sr:competitor:131566,"Nagal, Sumit",India,IND,NAG
sr:competitor:218538,"Kotov, Pavel",Neutral,,KOT
sr:competitor:205773,"Sanchez Jover, Carlos",Spain,ESP,SAN
sr:competitor:48626,"Giustino, Lorenzo",Italy,ITA,GIU
sr:competitor:679699,"Bertrand, Robin",France,FRA,BER
sr:competitor:25683,"Bai, Yan (1989)",China,CHN,BAI
sr:competitor:228372,"Soriano Barrera, Adria",Colombia,COL,SOR
sr:competitor:325737,"Moro Canas, Alejandro",Spain,ESP,MOR
sr:competitor:603820,"Coulibaly, Eliakim",Cote dâ€™Ivoire,CIV,COU
sr:competitor:540271,"Mayo, Aidan",USA,USA,MAY
sr:competitor:66086,"Kicker, Nicolas",Argentina,ARG,KIC
sr:competitor:686911,"Poljicak, Mili",Croatia,HRV,POL
sr:competitor:303862,"Johns, Garrett",USA,USA,JOH
sr:competitor:508498,"Rehberg, Max Hans",Germany,DEU,REH
sr:competitor:15858,"Elias, Gastao",Portugal,PRT,ELI
sr:competitor:95801,"Vavassori, Andrea",Italy,ITA,VAV
sr:competitor:152864,"Prihodko, Oleg",Ukraine,UKR,PRI
sr:competitor:126402,"Denolly, Corentin",France,FRA,DEN
sr:competitor:103625,"Geerts, Michael",Belgium,BEL,GEE
sr:competitor:269523,"Bax, Florent",France,FRA,BAX
sr:competitor:414501,"Houkes, Max",Netherlands,NLD,HOU
sr:competitor:101157,"Rybakov, Alex",USA,USA,RYB
sr:competitor:515478,"Sakellaridis, Stefanos",Greece,GRC,SAK
sr:competitor:745797,"Brunold, Mika",Switzerland,CHE,BRU
sr:competitor:50847,"Yevseyev, Denis",Kazakhstan,KAZ,YEV
sr:competitor:72248,"Varillas, Juan Pablo",Peru,PER,VAR
sr:competitor:242548,"Jubb, Paul",Great Britain,GBR,JUB
sr:competitor:49663,"Escoffier, Antoine",France,FRA,ESC
sr:competitor:807574,"Zheng, Michael",USA,USA,ZHE
sr:competitor:768772,"Bar Biryukov, Petr",Neutral,,BAR
sr:competitor:52462,"Vatutin, Alexey",Neutral,,VAT
sr:competitor:328985,"Maloney, Patrick",USA,USA,MAL
sr:competitor:947875,"Zhou, Yi",China,CHN,ZHO
sr:competitor:104967,"Brouwer, Gijs",Netherlands,NLD,BRO
sr:competitor:131442,"Mmoh, Michael",USA,USA,MMO
sr:competitor:515510,"Heide, Gustavo",Brazil,BRA,HEI
sr:competitor:51309,"Cid Subervi, Roberto",Dominican Republic,DOM,CID
sr:competitor:310968,"Bouzige, Moerani",Australia,AUS,BOU
sr:competitor:149100,"Sultanov, Khumoyun",Uzbekistan,UZB,SUL
